Question,Category
"පහත සඳහන් එක් එක් වාක්‍යයෙහි ක්‍රියා පදය අතීත කාලයට සම්බන්ධ නම් '✓' ලකුණ ද වර්තමාන නම් 'X' ලකුණ ද ඉදිරියේ ඇති වරහන් තුළ යොදන්න.
(1) නංගී උදෑසන ම පාසලට ගියා ය.   
(2) ඒ අහසේ තරු බැබළෙන්නේ ය.  
(3) නයනාගේ විලේපන පිනි.   
(4) තාත්තා උදේට ම අවදි වූහ.  ",Sinhala grammar comprehension
"ගැළපෙන විරුද්ධ පදය යොදන්න.
හොඳට ඇහුම්කන් දීලා කිව්ව දේවල් කරන්න පුරුදු වෙන්න අකමැත්ත පෙන්වූවා ය.",Sinhala language comprehension
"(1) පහත දැක්වෙන ප්‍රස්තාව පිරුළු සම්පූර්ණ කිරීමට සුදුසු වන හිස්තැනෙහි ලියන්න.
ආඬි හත්දෙනාගේ ......................... වගේ.

(2) පහත සඳහන් අවස්ථාවට ගැළපෙන ප්‍රස්තාව පිරුලක් තිත් ඉර මත ලියන්න.
නුහුරු නුපුරුදු දීමෙන් අනාකාර වීම",Sinhala language comprehension
"පහත සඳහන් එක් එක් වාක්‍යයෙහි නිවැරදි අක්ෂර වින්‍යාසය සහිත වචනය වරහන් තුළින් තෝරා යටින් ඉරික් අඳින්න.
(1) අප රටෙහි (සෙලෙස්මය/සෙලෙස්මිය) පුණ්‍ය භූමිය බොහෝ ඇත.
(2) බොහෝ රෝගය පිළිබඳ ව පැවැත්වූ (දේශනය/දේශණ්‍ය) ඉතා අගනේ ය.",Sinhala grammar comprehension - NO
"පහත සඳහන් වාක්‍යය වර්තමාන කාලයට හරවා ලියන්න.
ඔවුහු සෙල්ලම් කළෝ ය.",Sinhala grammar comprehension
"එක් එක් ඉංග්‍රීසි වචනය සඳහා යෙදෙන සිංහල වචනය ලියන්න.
(1) Rainbow :
(2) Daughter :",English language and grammar comprehension
"හත දී ඇති වචන නිවැරදි ව පිළිවෙළට යොදා අර්ථවත් වාක්‍යයක් සාදන්න.

(1) a / This / playground / is : 
(2) am / my / helping / I / mother :",English language and grammar comprehension
"""වහී"" යන දෙමළ වචනය සඳහා යෙදෙන සිංහල වචනය ලියන්න.

",Tamil language and grammar comprehension
"පහත සඳහන් වාක්‍යය දෙමළෙන් කියන ආකාරය සිංහලෙන් ලියන්න.
අත් සෝදන්න : ",Tamil language and grammar comprehension
"පහත දී ඇති සංඛ්‍යාව අකුරෙන් ලියන්න.
7050 : ",Mathematics
"පහත සංඛ්‍යා ආරෝහණ පිළිවෙළට ලියන්න.
8607, 6078, 8706",Mathematics
"එක්තරා පාසලක ගැහැණු ළමයි 1046 දෙනෙක් ද පිරිමි ළමයි 938 දෙනෙක් ද සිටිති.
(1) පාසලේ සිටින මුළු ළමයින් සංඛ්‍යාව කීය ද?
(2) එම පාසලේ පිරිමි ළමයින්ට වඩා ගැහැණු ළමයින් කොපමණ සංඛ්‍යාවක් සිටිත් ද?",Mathematics
"පැය 24 ඔරලෝසුවේ 13 : 30 ලෙස පෙන්වන වේලාව, පැය 12 ඔරලෝසුවේ වේලාවෙන් කීය ද?",Mathematics
"එක් ටැංකියක ජලය ලීටර් 10 මිලිලීටර් 500 ක් ද තවත් ටැංකියක ජලය ලීටර් 8 මිලිලීටර් 600 ක් ද ඇත. ටැංකි දෙකෙහි ඇති ජල ප්‍රමාණය අතර වෙනස කොපමණ ද?

",Mathematics
"416, 4 න් බෙදූ විට පිළිතුර කුමක් ද?",Mathematics
"මල්ලක හාල් 2 kg 350 g ක් තිබුණි. එයට තවත් හාල් 1 kg 750 g ක් දැමූ විට, දැන් මල්ලේ ඇති හාල්වල මුළු බර කොපමණ ද?",Mathematics
A නගරයේ සිට B නගරයට දුර 5 km 750 m වේ. B නගරයේ සිට C නගරයට දුර 7 km 500 m වේ. A නගරයේ සිට B නගරය හරහා C නගරයට ඇති මුළු දුර කොපමණ ද?,Mathematics
"නිදිනයස් ආයතනයේ පියා' ලෙස හඳුන්වනුයේ, 
(1) ආචාර්ය ආනන්ද කුමාරස්වාමි මැතිතුමා ය. 
(2) ආචාර්ය එච්. සී. පී. බෙල් මැතිතුමා ය. 
(3) ආචාර්ය එස්. පී. එෆ්. සෙනරත් පරණවිතාන මැතිතුමා ය.",Common knowledge and logic reasoning
"බෝ නොවන රෝගයක් සඳහා උදාහරණයක් වන්නේ පහත සඳහන් කුමක් ද?
(1) කොලරාව    
(2) දියවැඩියාව    
(3) සරම්ප",Environment
"පාද සහිත සතුන් පමණක් ඇතුළත් පිළිතුර කුමක් ද?
(1) බල්ලා, ගෙම්බිලා, කොකා    
(2) බළලා, නයා, කුකුළා    
(3) තිත්රා, තාරාවා, ඉබ්බා",Environment
"වවුලාගෙන් මිනිසාට ඇති ප්‍රයෝජනයක් වන්නේ,
(1) රාත්‍රී කාලයෙහි සැරිසැරීමයි.    
(2) ගබ්ස කිරීමයි.
(3) බීජ ව්‍යාප්ත කිරීමයි.",Environment
"දුර දිග නොබලා සිදුකරන මිනිස් ක්‍රියාකාරකම් නිසා අපට සිදු විය හැකි අවාසියක් වන්නේ,
(1) අනතුරු ගැසීම් නිසා වටිනා ජීවිත විනාශ වීමයි.
(2) සුළි සුළං තත්ත්වයේ නිවෙස් කඩා බිඳී යාමයි.
(3) කඳුළු ඇළි පන්හි පෑලීම නිසා නාය යාම් ඇති වීමයි.",Environment
"ශ්‍රී ලංකාවේ එකම දේශීය පක්ෂියා සහ එකම දේශීය උරගයා එකට පිළිවෙළින් දැක්වෙන පිළිතුර තෝරන්න.
(1) වළිකුකුළා හා දිවියා
(2) වළිකුකුළා හා කටුස්සා
(3) හබරණ කුකුළා හා යක් කටුස්සා",Environment
"""රන් දැකැති ගෙන නිති සැරසෙනා
රන්තරු පිරි අහස දිලිසෙනා""
මෙය

(1) පාර කවියකි.    
(2) ගොයම් කවියකි.    
(3) පහන් කවියකි.",Sinhala language comprehension
"""පාසල් එපා කීව කාලය මට මතක නැත"" යන්න මාතෘකාව කරගනිමින් වාක්‍ය තුනක් ලියන්න.
(සෑම වාක්‍යයක් ම වචන පහකට නොවැඩි විය යුතුයි. දක්වන ආඛ්‍යාතය සම්බන්ධ විය යුතුයි. අක්ෂර වින්‍යාසය නිවැරදි විය යුතුයි.)
",Sinhala language comprehension
